Year,Sex,Age_band,Population
2000,Persons,15-19,317896
2000,Persons,20-24,309605
2000,Persons,25-29,329972
2000,Persons,30-34,386733
2000,Persons,35-39,403058
2000,Persons,40-44,371304
2000,Persons,45-49,333356
2000,Persons,5-9,313342
2000,Persons,50-54,345863
2000,Persons,55-59,282993
2000,Persons,60-64,263236
2000,Persons,65-69,238638
2000,Persons,70-74,206574
2000,Persons,75-79,166177
2000,Persons,80+,188096
2001,Persons,0-4,276261
2001,Persons,10-14,322923
2001,Persons,15-19,317605
2001,Persons,20-24,315395
2001,Persons,25-29,314885
2001,Persons,30-34,381237
2001,Persons,35-39,403232
2001,Persons,40-44,378888
2001,Persons,45-49,338208
2001,Persons,5-9,305813
2001,Persons,50-54,350883
2001,Persons,55-59,290138
2001,Persons,60-64,261551
2001,Persons,65-69,239464
2001,Persons,70-74,207178
2001,Persons,75-79,165616
2001,Persons,80+,194923
2002,Persons,0-4,269784
2002,Persons,10-14,322994
2002,Persons,15-19,318594
2002,Persons,20-24,323176
2002,Persons,25-29,301388
2002,Persons,30-34,370635
2002,Persons,35-39,402702
2002,Persons,40-44,386186
2002,Persons,45-49,346196
2002,Persons,5-9,300341
2002,Persons,50-54,337014
2002,Persons,55-59,311948
2002,Persons,60-64,262178
2002,Persons,65-69,239601
2002,Persons,70-74,209211
2002,Persons,75-79,164386
2002,Persons,80+,199666
2003,Persons,0-4,265124
2003,Persons,10-14,320033
2003,Persons,15-19,320922
2003,Persons,20-24,328490
2003,Persons,25-29,293178
2003,Persons,30-34,358583
2003,Persons,35-39,400342
2003,Persons,40-44,392871
2003,Persons,45-49,353632
2003,Persons,5-9,295752
2003,Persons,50-54,331546
2003,Persons,55-59,323990
2003,Persons,60-64,265506
2003,Persons,65-69,242219
2003,Persons,70-74,210215
2003,Persons,75-79,164579
2003,Persons,80+,201518
2004,Persons,0-4,263725
2004,Persons,10-14,318895
2004,Persons,15-19,322550
2004,Persons,20-24,330116
2004,Persons,25-29,295046
2004,Persons,30-34,344896
2004,Persons,35-39,396818
2004,Persons,40-44,399112
2004,Persons,45-49,362082
2004,Persons,5-9,292012
2004,Persons,50-54,330384
2004,Persons,55-59,332800
2004,Persons,60-64,270604
2004,Persons,65-69,244668
2004,Persons,70-74,210492
2004,Persons,75-79,165495
2004,Persons,80+,204605
2005,Persons,0-4,265494
2005,Persons,10-14,315456
2005,Persons,15-19,322788
2005,Persons,20-24,335667
2005,Persons,25-29,302798
2005,Persons,30-34,334064
2005,Persons,35-39,390035
2005,Persons,40-44,406046
2005,Persons,45-49,370864
2005,Persons,5-9,288076
2005,Persons,50-54,331859
2005,Persons,55-59,341282
2005,Persons,60-64,273453
2005,Persons,65-69,245840
2005,Persons,70-74,211563
2005,Persons,75-79,167298
2005,Persons,80+,207617
2006,Persons,0-4,267887
2006,Persons,10-14,310396
2006,Persons,15-19,325046
2006,Persons,20-24,338427
2006,Persons,25-29,312153
2006,Persons,30-34,321753
2006,Persons,35-39,386490
2006,Persons,40-44,407675
2006,Persons,45-49,378713
2006,Persons,5-9,283176
2006,Persons,50-54,336583
2006,Persons,55-59,346378
2006,Persons,60-64,280548
2006,Persons,65-69,244329
2006,Persons,70-74,212774
2006,Persons,75-79,168617
2006,Persons,80+,212055
2007,Persons,0-4,274307
2007,Persons,10-14,306907
2007,Persons,15-19,329271
2007,Persons,20-24,341579
2007,Persons,25-29,326534
2007,Persons,30-34,311583
2007,Persons,35-39,379780
2007,Persons,40-44,409130
2007,Persons,45-49,387047
2007,Persons,5-9,277032
2007,Persons,50-54,345038
2007,Persons,55-59,333022
2007,Persons,60-64,302741
2007,Persons,65-69,245594
2007,Persons,70-74,213870
2007,Persons,75-79,171605
2007,Persons,80+,214960
2008,Persons,0-4,282076
2008,Persons,10-14,303788
2008,Persons,15-19,329127
2008,Persons,20-24,346685
2008,Persons,25-29,336480
2008,Persons,30-34,306527
2008,Persons,35-39,369874
2008,Persons,40-44,407778
2008,Persons,45-49,395209
2008,Persons,5-9,272218
2008,Persons,50-54,352726
2008,Persons,55-59,327680
2008,Persons,60-64,314971
2008,Persons,65-69,249403
2008,Persons,70-74,216897
2008,Persons,75-79,173548
2008,Persons,80+,217913
2009,Persons,0-4,287506
2009,Persons,10-14,300139
2009,Persons,15-19,332321
2009,Persons,20-24,348701
2009,Persons,25-29,339974
2009,Persons,30-34,309453
2009,Persons,35-39,357521
2009,Persons,40-44,404027
2009,Persons,45-49,401606
2009,Persons,5-9,269584
2009,Persons,50-54,361126
2009,Persons,55-59,326055
2009,Persons,60-64,323312
2009,Persons,65-69,254007
2009,Persons,70-74,219659
2009,Persons,75-79,174779
2009,Persons,80+,222130
2010,Persons,0-4,290920
2010,Persons,10-14,295701
2010,Persons,15-19,331826
2010,Persons,20-24,353723
2010,Persons,25-29,342901
2010,Persons,30-34,315516
2010,Persons,35-39,346915
2010,Persons,40-44,396734
2010,Persons,45-49,408456
2010,Persons,5-9,269598
2010,Persons,50-54,369104
2010,Persons,55-59,327270
2010,Persons,60-64,331314
2010,Persons,65-69,256983
2010,Persons,70-74,221092
2010,Persons,75-79,177100
2010,Persons,80+,227047
2011,Persons,0-4,293586
2011,Persons,10-14,290266
2011,Persons,15-19,326831
2011,Persons,20-24,365580
2011,Persons,25-29,346349
2011,Persons,30-34,323786
2011,Persons,35-39,336101
2011,Persons,40-44,393664
2011,Persons,45-49,410769
2011,Persons,5-9,270900
2011,Persons,50-54,377317
2011,Persons,55-59,331924
2011,Persons,60-64,336463
2011,Persons,65-69,264413
2011,Persons,70-74,220367
2011,Persons,75-79,179144
2011,Persons,80+,232440
2012,Persons,0-4,294615
2012,Persons,10-14,282516
2012,Persons,15-19,318176
2012,Persons,20-24,366103
2012,Persons,25-29,344805
2012,Persons,30-34,331982
2012,Persons,35-39,322218
2012,Persons,40-44,386288
2012,Persons,45-49,411331
2012,Persons,5-9,275759
2012,Persons,50-54,385585
2012,Persons,55-59,340061
2012,Persons,60-64,323120
2012,Persons,65-69,285991
2012,Persons,70-74,221582
2012,Persons,75-79,180588
2012,Persons,80+,237780
